"news_day","headline"
"2014-08-07","NVIDIA CORP <NVDA.O> SAYS Q3 REVENUE IS EXPECTED TO BE $1.20 BILLION, PLUS OR MINUS TWO PERCENT"
"2014-08-07","NVIDIA CORP <NVDA.O>-SAYS Q3 GAAP AND NON-GAAP GROSS MARGINS EXPECTED TO BE 55.2 PERCENT AND 55.5 PERCENT, RESPECTIVELY, PLUS OR MINUS 50 BASIS POINTS"
"2014-08-07","NVIDIA CORP <NVDA.O> SEES Q3 CAPITAL EXPENDITURES ARE EXPECTED TO BE APPROXIMATELY $40 MILLION TO $50 MILLION"
"2014-08-07","NVIDIA CORP <NVDA.O> Q2 SHR VIEW $0.20 -- THOMSON REUTERS I/B/E/S"
"2014-08-07","NVIDIA CORP <NVDA.O> QTRLY GAAP GROSS MARGIN OF 56.1 PERCENT"
"2014-08-07","NVIDIA CORP <NVDA.O> Q2 GAAP SHR $0.22"
"2014-08-07","NVIDIA FINANCIAL RESULTS FOR SECOND QUARTER FISCAL 2015"
"2014-08-07","NVIDIA FINANCIAL RESULTS FOR SECOND QUARTER FISCAL 2015"
"2014-08-07","NVIDIA CORP <NVDA.O> Q2 NON-GAAP SHR $0.30"
"2014-08-07","NVIDIA CORP <NVDA.O> Q2 REVENUE $1.1 BLN VS I/B/E/S VIEW $1.1 BLN"
"2014-08-07","NVIDIA CORP <NVDA.O> CEO SAYS EXPECTS INTELLECTUAL PROPERTY LICENSING TO BE IMPORTANT PART OF BUSINESS GOING FORWARD"
"2014-08-07"," NVIDIA CORP SHARES UP 4 PCT AFTER THE BELL FOLLOWING RESULTS"
"2014-08-08","NVIDIA CORP <NVDA.O>: ROTH CAPITAL RAISES TARGET PRICE TO $24 FROM $22; RATING BUY"
"2014-08-08","NVIDIA CORP <NVDA.O>: JP MORGAN RAISES PRICE TARGET TO $20 FROM $19; RATING NEUTRAL"
"2014-08-08","NVIDIA CORP <NVDA.O>: DEUTSCHE BANK RAISES TARGET PRICE TO $17 FROM $16; RATING HOLD"
"2014-08-08","NVIDIA CORP <NVDA.O>: BARCLAYS RAISES PRICE TARGET TO $18 FROM $17; RATING EQUAL WEIGHT"
"2014-08-08","NVIDIA CORP <NVDA.O>: CANACCORD GENUITY RAISES TARGET PRICE TO $20 FROM $19; RATING HOLD"
"2014-08-08","NVIDIA CORP <NVDA.O>: BMO RAISES PRICE TARGET TO $18 FROM $15; RATING MARKET PERFORM"
"2014-08-08","NVIDIA CORP <NVDA.O>: MORGAN STANLEY RAISES PRICE TARGET TO $15 FROM $14; RATING UNDERWEIGHT"
"2014-08-08","NVIDIA CORP <NVDA.O>: NEEDHAM RAISES TO BUY FROM HOLD"
"2014-08-26","POSSIBLE EU PROBE COMES FOUR YEARS AFTER NVIDIA <NVDA.O> UNIT  ICERA FILED COMPLAINT OF ANTI-COMPETITIVE BEHAVIOUR AGAINST  QUALCOMM"
"2014-09-04","NVIDIA CORP <NVDA.O> SAYS ""SAMSUNG AND QUALCOMM HAVE CHOSEN TO USE THESE (PATENTS) IN THEIR PRODUCTS WITHOUT A LICENSE FROM US"""
"2014-09-04","NVIDIA - ASKING THE COURTS TO DETERMINE INFRINGEMENT OF NVIDIA'S GPU PATENTS BY ALL GRAPHICS ARCHITECTURES USED IN SAMSUNG'S MOBILE PRODUCTS"
"2014-09-04","NVIDIA FILES COMPLAINTS AGAINST SAMSUNG AND QUALCOMM FOR INFRINGING ITS GPU PATENTS"
"2014-09-04","SAMSUNG ELECTRONICS <005930.KS> SAYS WILL TAKE ""ALL MEASURES  NECESSARY"" AGAINST NVIDIA CORP'S <NVDA.O> CLAIMS"
"2014-09-09","TECHNICAL UPDATES, QUARTERLY PERFORMANCE UPDATES, PRODUCT LAUNCH, AND PATENT INFRINGEMENT COMPLAINT - RESEARCH REPORTS ON YY, CIENA, BROADCOM, NVIDIA AND SANDISK"
"2014-10-06","NVIDIA CORP <NVDA.O> - PRODUCTS AT ISSUE INCLUDE THE GALAXY NOTE EDGE, GALAXY NOTE 4, GALAXY S5, GALAXY NOTE 3 AND GALAXY S4 MOBILE PHONES"
"2014-10-06","NVIDIA-PRODUCTS AT ISSUE INCLUDE GALAXY NOTE EDGE,GALAXY NOTE 4,GALAXY S5,GALAXY NOTE 3,GALAXY S4,GALAXY TAB S,GALAXY NOTE PRO,GALAXY TAB 2"
"2014-10-06","NVIDIA-US ITC VOTED TO INVESTIGATE WHETHER CERTAIN SAMSUNG PRODUCTS SHOULD BE BLOCKED FROM ENTERING COUNTRY BECAUSE THEY INFRINGE GPU PATENTS"
"2014-10-06","NVIDIA CORP <NVDA.O> SAYS NVIDIA HAS ALSO FILED A LAWSUIT IN THE DELAWARE DISTRICT COURT SEEKING DAMAGES FOR INFRINGEMENT"
"2014-10-06","PRESS RELEASE- U.S. INTERNATIONAL TRADE COMMISSION OPENS INVESTIGATION INTO SAMSUNG PRODUCT INFRINGEMENT OF NVIDIA GPU PATENTS"
"2014-11-03","NVIDIA <NVDA.O>: PACIFIC CREST RAISES TO SECTOR PERFORM FROM UNDERPERFORM"
"2014-11-04","NVIDIA CORP <NVDA.O>: SUSQUEHANNA RAISES TARGET PRICE TO $18 FROM $16; RATING NEUTRAL"
"2014-11-06","NVIDIA CORP <NVDA.O> Q3 SHR VIEW $0.29 -- THOMSON REUTERS I/B/E/S"
"2014-11-06","NVIDIA CORP <NVDA.O> Q3 REVENUE $1.23 BLN VS I/B/E/S VIEW $1.2 BLN"
"2014-11-06","NVIDIA CORP <NVDA.O> Q3 GAAP SHR $0.31"
"2014-11-06","NVIDIA CORP <NVDA.O> Q3 NON-GAAP SHR $0.39"
"2014-11-06","NVIDIA ANNOUNCES FINANCIAL RESULTS FOR THIRD QUARTER FISCAL 2015"
"2014-11-06","NVIDIA CORP <NVDA.O> SEES Q4 CAPITAL EXPENDITURES ARE EXPECTED TO BE APPROXIMATELY $40 MILLION TO $50 MILLION"
"2014-11-06","NVIDIA CORP <NVDA.O> SAYS GAAP AND NON-GAAP GROSS MARGINS ARE EXPECTED TO BE 55.2 PERCENT AND 55.5 PERCENT FOR Q4"
"2014-11-06","NVIDIA CORP <NVDA.O> Q4 REVENUE IS EXPECTED TO BE $1.20 BILLION, PLUS OR MINUS TWO PERCENT."
"2014-11-06","NVIDIA ANNOUNCES FINANCIAL RESULTS FOR THIRD QUARTER FISCAL 2015"
"2014-11-06","NVIDIA CORP <NVDA.O> Q4 SHR VIEW $0.28, REV VIEW $1.20 BLN -- THOMSON REUTERS I/B/E/S"
"2014-11-06","NVIDIA CORP <NVDA.O> Q3 SHR VIEW $0.29, REV VIEW $1.20 BLN -- THOMSON REUTERS I/B/E/S"
"2014-11-06","NVIDIA CORP SHARES UP 1.4 PCT AFTER THE BELL FOLLOWING RESULTS"
"2014-11-07","NVIDIA CORP <NVDA.O>: MORGAN STANLEY RAISES TARGET PRICE TO $17 FROM $15; RATING UNDERWEIGHT"
"2014-11-07","NVIDIA CORP <NVDA.O>: JP MORGAN RAISES PRICE TARGET TO $21 FROM $20; RATING NEUTRAL"
"2014-11-07","NVIDIA CORP <NVDA.O>  : NOMURA RAISES PRICE TARGET TO $23 FROM $22; RATING BUY"
"2014-11-07","NVIDIA CORP <NVDA.O>: JEFFERIES RAISES PRICE TARGET TO $21 FROM $19; RATING HOLD"
"2014-11-07","NVIDIA  <NVDA.O> : NEEDHAM RAISES TARGET PRICE TO $25 FROM $23 ; RATING BUY"
"2014-11-07","NVIDIA CORP <NVDA.O>: WEDBUSH RAISES TARGET PRICE TO $25 FROM $23; RATING OUTPERFORM"
"2014-11-07","NVIDIA CORP <NVDA.O>: STIFEL RAISES PRICE TARGET TO $24.50 FROM $22; RATING BUY"
"2014-11-07","NVIDIA CORP <NVDA.O> :TOPEKA CAPITAL  RAISES TARGET PRICE TO $21 FROM $19"
"2014-11-07","NVIDIA CORP <NVDA.O>: RAYMOND JAMES RAISES PRICE TARGET TO $25 FROM $22; RATING STRONG BUY"
"2014-11-10","IBM, FORSCHUNGSZENTRUM JULICH AND NVIDIA TEAM TO ESTABLISH POWER ACCELERATION AND DESIGN CENTER"
"2014-11-25","NVIDIA <NVDA.O> : NOMURA RAISES PRICE TARGET TO $25 FROM $23; RATING BUY"
"2014-12-19","NVIDIA <NVDA.O>: BOFA MERRILL RAISES PRICE TARGET TO $22 FROM $19"
"2014-12-19","NVIDIA <NVDA.O>: BOFA MERRILL UPGRADES TO NEUTRAL FROM UNDERPERFORM"
"2015-01-04","NVIDIA CORP <NVDA.O> SAYS TEGRA X1 WILL BEGIN APPEARING IN THE FIRST HALF OF THE YEAR"
"2015-01-04","NVIDIA LAUNCHES TEGRA X1 MOBILE SUPER CHIP"
"2015-01-04","NVIDIA PAVES WAY FOR TOMORROW'S CARS WITH NVIDIA DRIVE AUTOMOTIVE COMPUTERS"
"2015-01-12","NVIDIA <NVDA.O>: FBR RAISES PRICE TARGET TO $22 FROM $20; RATING MARKET PERFORM"
"2015-01-23","IQIYI SAYS CO, NVIDIA WILL ESTABLISH THE IQIYI-NVIDIA RESEARCH AND DEVELOPMENT CENTER"
"2015-01-23","IQIYI, AN INDEPENDENTLY OPERATED UNIT OF BAIDU, ANNOUNCED ITS STRATEGIC PARTNERSHIP WITH NVIDIA"
"2015-02-11","NVIDIA CORP <NVDA.O> SAYS Q1 REVENUE IS EXPECTED TO BE $1.16 BILLION, PLUS OR MINUS TWO PERCENT"
"2015-02-11","NVIDIA CORP <NVDA.O> - Q4 NON-GAAP GROSS MARGIN 56.2%  VS 55.5 PCT IN Q3"
"2015-02-11","NVIDIA CORP <NVDA.O> - Q4 GAAP GROSS MARGIN  55.9%  VS 55.2 PCT IN Q3"
"2015-02-11","NVIDIA - Q1 GAAP AND NON-GAAP GROSS MARGINS ARE EXPECTED TO BE 56.2 PERCENT AND 56.5 PERCENT, RESPECTIVELY"
"2015-02-11","NVIDIA CORP <NVDA.O> SAYS Q1 CAPITAL EXPENDITURES ARE EXPECTED TO BE APPROXIMATELY $30 MILLION TO $40 MILLION"
"2015-02-11","NVIDIA CORP <NVDA.O> Q1 REV VIEW $1.15 BLN -- THOMSON REUTERS I/B/E/S"
"2015-02-11","NVIDIA  - INTENDS TO RETURN APPROXIMATELY $600 MILLION TO SHAREHOLDERS THROUGH ONGOING QUARTERLY CASH DIVIDENDS AND SHARE REPURCHASES IN FISCAL 2016"
"2015-02-11","NVIDIA CORP <NVDA.O> Q4 GAAP SHR $0.35"
"2015-02-11","NVIDIA CORP <NVDA.O> Q4 SHR VIEW $0.29 -- THOMSON REUTERS I/B/E/S"
"2015-02-11","NVIDIA CORP <NVDA.O> Q4 REVENUE $1.25 BLN VS I/B/E/S VIEW $1.2 BLN"
"2015-02-11","NVIDIA CORP <NVDA.O> Q4 NON-GAAP SHR $0.43"
"2015-02-11","NVIDIA ANNOUNCES FINANCIAL RESULTS FOR FOURTH QUARTER AND FISCAL 2015"
"2015-02-11","NVIDIA ANNOUNCES FINANCIAL RESULTS FOR FOURTH QUARTER AND FISCAL 2015"
"2015-02-11","NVIDIA CORP SHARES UP 6 PCT AFTER THE BELL FOLLOWING RESULTS"
"2015-02-11","NVIDIA CORP <NVDA.O>: CANACCORD GENUITY RAISES PRICE TARGET TO $23 FROM $22; RATING HOLD"
"2015-02-11","NVIDIA CORP <NVDA.O>: DEUTSCHE BANK RAISES PRICE TARGET TO $19 FROM $17; RATING HOLD"
"2015-02-11","NVIDIA CORP <NVDA.O>: JEFFERIES RAISES PRICE TARGET TO $22 FROM $21; RATING HOLD"
"2015-02-12","NVIDIA CORP <NVDA.O>: MORGAN STANLEY RAISES PRICE TARGET TO $19.50 FROM $17; RATING UNDERWEIGHT"
"2015-02-12","NVIDIA CORP <NVDA.O>: RBC RAISES PRICE TARGET TO $27 FROM $26; RATING OUTPERFORM"
"2015-02-12","NVIDIA <NVDA.O>: BMO RAISES PRICE TARGET TO $20 FROM $18; RATING MARKET PERFORM"
"2015-02-12","NVIDIA <NVDA.O>: B. RILEY RAISES TARGET PRICE TO $27"
"2015-02-12","NVIDIA CORP <NVDA.O>: BARCLAYS RAISES TARGET PRICE TO $20 FROM $18; RATING EQUAL WEIGHT"
"2015-02-12","NVIDIA CORP <NVDA.O> : JP MORGAN RAISES PRICE TARGET TO $24 FROM $21; RATING NEUTRAL"
"2015-02-12","NVIDIA CORP <NVDA.O>: TOPEKA CAPITAL RAISES TARGET PRICE TO $23 FROM $21; RATING HOLD"
"2015-02-12","NVIDIA CORP <NVDA.O>: STIFEL RAISES PRICE TARGET TO $27 FROM $24.50; RATING BUY"
"2015-02-12","NVIDIA CORP <NVDA.O>: NEEDHAM RAISES TARGET PRICE TO $27 FROM $25"
"2015-02-12","NVIDIA CORP <NVDA.O> : ROTH RAISES TARGET PRICE TO $25 FROM $24"
"2015-02-12","NVIDIA <NVDA.O>: BMO RAISES TARGET PRICE TO $20 FROM $18; RATING MARKET PERFORM"
"2015-02-12","NVIDIA CORP <NVDA.O>: RAYMOND JAMES RAISES TARGET PRICE TO $27 FROM $25; RATING STRONG BUY"
"2015-02-12","NVIDIA CORP <NVDA.O>: B. RILEY RAISES TARGET PRICE TO $27 FROM $25; RATING BUY"
"2015-02-12","NVIDIA CORP <NVDA.O>  : FBR RAISES TARGET PRICE TO $23 FROM $22"
"2015-02-25","BLOOBER TEAM SA <BLOP.WA>  - ITS GAME BRAWL IS ACCEPTED ON NVIDIA SHIELD AND WILL BE PRESENTED AT GAME DEVELOPERS CONFERENCE IN SAN FRANCISCO"
"2015-03-03","NVIDIA CORP <NVDA.O> SAYS BUILT ON ANDROID TV, SHIELD CAN PLAY TOP-QUALITY 4K VIDEO CONTENT, INCLUDES ONE-CLICK ACCESS TO GOOGLE VOICE SEARCH"
"2015-03-03","NVIDIA CORP <NVDA.O> SAYS SHIELD WILL BE AVAILABLE IN MAY, STARTING AT $199 WITH A CONTROLLER"
"2015-03-03","NVIDIA LAUNCHES ITS FIRST LIVING-ROOM ENTERTAINMENT DEVICE"
"2015-03-11","NVIDIA NAMES MICHAEL MCCAFFERY, PERSIS DRELL TO BOARD OF DIRECTORS"
"2015-03-11","NVIDIA CORP <NVDA.O> SAYS MICHAEL MCCAFFERY IS CHAIRMAN AND MANAGING DIRECTOR OF MAKENA CAPITAL MANAGEMENT"
"2015-03-18","NVIDIA CORP <NVDA.O>: ROTH CAPITAL RAISES TARGET PRICE TO $26 FROM $25; RATING BUY"
"2015-03-23","NVIDIA <NVDA.O>: GOLDMAN SACHS CUTS TO SELL FROM NEUTRAL"
"2015-03-25","NVIDIA CORP <NVDA.O>: SUSQUEHANNA RAISES TARGET PRICE TO $19 FROM $18; RATING NEUTRAL"
"2015-04-09","NVIDIA CORP <NVDA.O> SAYS CEO JEN-HSUN HUANG'S FY 2015 TOTAL COMPENSATION WAS $9.3 MLN VS. $6 MLN IN FY 2014"
"2015-04-09","NVIDIA CORP <NVDA.O> SAYS CFO COLETTE KRESS'S FY 2015 TOTAL COMPENSATION WAS $5.1 MLN VS. $3.6 MLN IN FY 2014"
"2015-05-05","NVIDIA CORP <NVDA.O> SAYS COMPANY IS OPEN TO A SALE OF THE TECHNOLOGY OR OPERATIONS."
"2015-05-05","NVIDIA CORP <NVDA.O> SAYS COMPANY IS OPEN TO A SALE OF THE TECHNOLOGY OR OPERATIONS"
"2015-05-05","NVIDIA CORP <NVDA.O> SAYS COMPANY EXPECTS TO PARTNER WITH THIRD-PARTY MODEM SUPPLIERS AND WILL NO LONGER DEVELOP ITS OWN"
"2015-05-05","NVIDIA CORP <NVDA.O> SAYS ICERA 4G LTE MODEM MEETS THE COMPANY'S NEEDS FOR THE NEXT YEAR OR MORE"
"2015-05-05","NVIDIA CORP <NVDA.O> SAYS ICERA MODEM OPERATION HAS APPROXIMATELY 500 EMPLOYEES"
"2015-05-05","NVIDIA CORP <NVDA.O> SAYS WILL WIND DOWN ITS ICERA MODEM OPERATIONS IN THE SECOND QUARTER OF FISCAL 2016"
"2015-05-05","NVIDIA TO WIND DOWN ICERA MODEM OPERATIONS"
"2015-05-07","NVIDIA CORP <NVDA.O> Q1 REVENUE $1.15 BLN VS I/B/E/S VIEW $1.16 BLN"
"2015-05-07","NVIDIA ANNOUNCES FINANCIAL RESULTS FOR FIRST QUARTER FISCAL 2016"
"2015-05-07","NVIDIA CORP <NVDA.O> Q1 NON-GAAP SHR $0.33"
"2015-05-07","NVIDIA CORP <NVDA.O> Q1 GAAP SHR $0.24"
"2015-05-07","NVIDIA CORP <NVDA.O> Q1 SHR VIEW $0.26 -- THOMSON REUTERS I/B/E/S"
"2015-05-07","NVIDIA CORP <NVDA.O> Q1 NON-GAAP GROSS MARGIN 56.9% VS 56.2 PCT IN Q4"
"2015-05-07","NVIDIA - CAPITAL EXPENDITURES ARE EXPECTED TO BE APPROXIMATELY $35 MILLION TO $45 MILLION IN Q2"
"2015-05-07","NVIDIA CORP - ESTIMATES THAT IT WILL RECOGNIZE RESTRUCTURING CHARGES IN THE RANGE OF $100 MILLION TO $125 MILLION, PRIMARILY DURING FISCAL 2016"
"2015-05-07","NVIDIA CORP <NVDA.O> - ICERA WIND-DOWN OR SALE IS EXPECTED TO BENEFIT NON-GAAP OPERATING EXPENSES IN THE SECOND HALF OF THE YEAR"
"2015-05-07","NVIDIA - CHARGES TO CONSIST OF SEVERANCE AND OTHER EMPLOYEE TERMINATION BENEFITS, TAX EXPENSE ITEMS AND OTHER COSTS ASSOCIATED WITH THE WIND-DOWN"
"2015-05-07","NVIDIA CORP <NVDA.O> -  RAISES QUARTERLY CASH DIVIDEND 15 PERCENT TO $0.0975 PER SHARE"
"2015-05-07","NVIDIA CORP <NVDA.O> SAYS RAISES QUARTERLY CASH DIVIDEND 15 PERCENT TO $0.0975 PER SHARE"
"2015-05-07","NVIDIA CORP <NVDA.O> - DECISION TO WIND DOWN OR SELL ICERA MODEM OPERATIONS"
"2015-05-07","NVIDIA CORP <NVDA.O> - COMPANY TO RETURN $800 MILLION TO SHAREHOLDERS IN FISCAL 2016"
"2015-05-07","NVIDIA CORP <NVDA.O> - AUTHORIZED AN ADDITIONAL $1.62 BILLION, FOR AN AGGREGATE OF $2.00 BILLION AVAILABLE FOR REPURCHASE"
"2015-05-07","NVIDIA CORP <NVDA.O> - BOARD OF DIRECTORS HAS EXTENDED THE PREVIOUSLY AUTHORIZED REPURCHASE PROGRAM THROUGH DECEMBER 2018"
"2015-05-07","NVIDIA CORP <NVDA.O> - ANNOUNCED AN INCREASE IN ITS INTENDED RETURN TO SHAREHOLDERS IN FISCAL 2016"
"2015-05-07","NVIDIA CORP <NVDA.O> - ""COMPANY WILL CAREFULLY INVEST IN ITS GROWTH INITIATIVES OF DEEP LEARNING, SELF-DRIVING CARS AND GAMING"""
"2015-05-07","NVIDIA - GAAP AND NON-GAAP GROSS MARGINS ARE EXPECTED TO BE 55.7 PERCENT AND 56.0 PERCENT, RESPECTIVELY, PLUS OR MINUS 50 BASIS POINTS IN Q2"
"2015-05-07","NVIDIA CORP <NVDA.O> SAYS GAAP GROSS MARGIN OF 56.7 PERCENT, UP FROM 54.8 PERCENT A YEAR EARLIER"
"2015-05-07","NVIDIA CORP <NVDA.O> - REVENUE IS EXPECTED TO BE $1.01 BILLION, PLUS OR MINUS TWO PERCENT IN Q2"
"2015-05-07","NVIDIA SHARES DOWN 3.7 PCT IN LATE TRADE AFTER QUARTERLY REPORT"
"2015-05-07","NVIDIA CORP <NVDA.O>: NOMURA CUTS PRICE TARGET TO $23 FROM $25; RATING BUY"
"2015-05-07","NVIDIA CORP <NVDA.O>: STIFEL CUTS PRICE TARGET TO $25 FROM $27; RATING BUY"
"2015-05-08","NVIDIA CORP <NVDA.O>: MORGAN STANLEY CUTS TARGET PRICE TO $18 FROM $19.50; RATING UNDERWEIGHT"
"2015-05-08","NVIDIA CORP <NVDA.O>: JMP SECURITIES RAISES PRICE TARGET TO $28 FROM $27; RATING MARKET OUTPERFORM"
"2015-05-08","NVIDIA CORP <NVDA.O> :  WEDBUSH CUTS TARGET PRICE TO $24 FROM $25"
"2015-05-08","NVIDIA <NVDA.O> SHARES DOWN 4.4 PCT AT $21.50 PREMARKET FOLLOWING ITS Q1 RESULTS ON THURSDAY AFTER THE BELL;AT LEAST 4 BROKERAGES CUT PRICE TARGET"
"2015-05-08","NVIDIA CORP <NVDA.O> : ROTH CUTS TO NEUTRAL; CUTS PRICE TARGET TO $22"
"2015-05-10","NVIDIA <NVDA.O>: CANACCORD GENUITY CUTS TARGET PRICE TO $21 FROM $23; RATING HOLD"
"2015-05-15","SOROS FUND MANAGEMENT TAKES A 354,247 SHARE STAKE IN NVIDIA CORP <NVDA.O>"
"2015-05-27","SHARES OF CHIPMAKER NVIDIA UP 4.5 PCT, SKYWORKS UP 4.2 PCT IN  AFTERNOON TRADE"
"2015-05-31","NVIDIA <NVDA.O> CEO SAYS COMPANY SEES ITS REVENUE FROM CLOUD  COMPUTING AT $1 BLN WITHIN 2-3 YEARS"
"2015-06-10","NVIDIA CORP <NVDA.O>: NOMURA CUTS PRICE TARGET TO $18 FROM $23"
"2015-06-10","NVIDIA CORP <NVDA.O>: NOMURA DOWNGRADES STOCK ON RISKS TO H2 STREET ESTIMATES FROM MULTIPLE HEADWINDS TO PC GAMING SHIPMENTS"
